site,bag_id,artifact,layer,locus,square,raw_material,support,preservation,length,width,thickness,weight,usewear_macro,usewear_location,usewear_type,active_areas,residues_macro,typology,photo_file,observations
Nesher Ramla,1626,1626,5,37,,Limestone,Pebble,complete,79.85,63.06,48.65,321,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,,,5,49,,Limestone,Pebble,broken,0,0,0,0,yes,tip,pecking,2,no,Hammerstone,,
Nesher Ramla,6079,6079,5,37,,Limestone,Pebble,complete,128.63,55.07,63.48,389,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,8155,8155,5,45,,Limestone,block,broken,0,0,0,0,no,,,,no,Natural,,
Nesher Ramla,8155,8155-1,5,45,,Limestone,Pebble,complete,72.86,63.52,39.42,254,no,,,,no,Manuport,,
Nesher Ramla,6086,6086,5,37,,Limestone,Pebble,complete,86.05,62.5,61.8,450,no,,,,no,Manuport,,
Nesher Ramla,1081,1081,5,37,,Limestone,Pebble,complete,61.89,52.55,40.75,194,no,,,,no,Manuport,,
Nesher Ramla,712,712,5,37,,Limestone,Pebble,complete,65.61,48.02,37.37,182,no,,,,no,Manuport,,
Nesher Ramla,7630,7630,5,54,,Limestone,Pebble,complete,83.19,68.49,49.16,377,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,7630,7630-1,5,54,,Limestone,Pebble,small_breakage,70.49,51.31,43.96,212,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,300,300,5,37,O21,Limestone,Pebble,complete,86.02,70.46,43.92,356,yes,central,pecking,1,no,Hammerstone,,
Nesher Ramla,6336,6336,5,,,Limestone,Pebble,complete,76.7,51.34,40.2,215,no,,,,no,Manuport,,
Nesher Ramla,6112,6112,5,37,,Limestone,Pebble,complete,86.27,68.6,47.98,440,no,,,,no,Manuport,,
Nesher Ramla,8696,8696,5,64,,Limestone,Pebble,broken,53.57,23.85,37.91,52,no,,,,no,Manuport,,
Nesher Ramla,5925,5925,5,,,Limestone,Pebble,small_breakage,70.1,56.4,44.46,286,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,738,738,5,37,,Limestone,Pebble,small_breakage,0,0,0,0,yes,tip,pecking,2,no,Hammerstone,,
Nesher Ramla,8720,8720,5,45B,,Limestone,Pebble,broken,91.47,71.55,32.77,234,no,,,,no,Manuport,,
Nesher Ramla,116,116,5,37,L20,Limestone,Pebble,complete,74.59,70.44,62.57,486,no,,,,no,Manuport,,
Nesher Ramla,4292,4292,5,,,Limestone,Pebble,complete,0,0,0,0,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,8396,8396,5,45,,Limestone,Pebble,complete,65.97,59.97,35.07,183,no,,,,no,Manuport,,
Nesher Ramla,90,90,5,37A,,Limestone,Pebble,complete,73.38,55.71,45.93,278,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,993,993,5,37,,Limestone,Pebble,complete,76.93,67.44,61.13,389,no,,,,,Manuport,,
Nesher Ramla,268,268,5,37,,Limestone,Pebble,complete,67.04,59.23,53.16,300,no,,,,no,Manuport,,
Nesher Ramla,1126,1126,5,37,,Limestone,Pebble,complete,61.26,60.95,56.88,323,no,,,,no,Manuport,,
Nesher Ramla,7260,7260-1,5,58,,Limestone,Pebble,complete,68.13,65.88,51.17,395,yes,tip,striations,1,no,Abrader,,
Nesher Ramla,7260,7260,5,58,,Limestone,Pebble,small_breakage,62.51,55.8,39.04,164,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,7268,7268,5,58,,Limestone,Pebble,complete,48.28,43.26,33.47,113,no,,,,no,Manuport,,
Nesher Ramla,8001,8001,5,59,,Limestone,Pebble,complete,62.11,52.92,49.26,209,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,234,234,5,37,N21,Limestone,Pebble,complete,63.5,51.39,31.68,147,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,1181,1181,5,37,,Limestone,Pebble,small_breakage,65.33,57.51,47.42,217,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,8682,8682,5,45A,,Limestone,Pebble,complete,77.33,69.91,50.29,436,no,,,,no,Manuport,,
Nesher Ramla,7016,7016-2,5,54,,Limestone,block,broken,0,0,0,0,no,,,,no,Natural,,
Nesher Ramla,8490,8490-1,5,37,,Limestone,Pebble,small_breakage,58.83,45.69,30.71,110,no,,,,no,Manuport,,
Nesher Ramla,7223,7223,5,46,,Limestone,block,broken,0,0,0,0,no,,,,no,Natural,,
Nesher Ramla,7223,7223-1,5,46,,Limestone,Pebble,small_breakage,97.27,85.14,61.09,583,no,,,,no,Manuport,,
Nesher Ramla,56,56,5,37A,,Limestone,Pebble,small_breakage,59.86,52.51,46.36,270,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,4451,4451,5,37A,,Limestone,Pebble,complete,69.59,46.2,39.88,207,no,,,,no,Manuport,,
Nesher Ramla,7062,7062,5,54,,Limestone,Pebble,complete,76.02,58.12,47.62,267,no,,,,no,Manuport,,
Nesher Ramla,6505,6505,5,,,Limestone,Pebble,complete,72.17,52.07,38.85,193,no,,,,no,Manuport,,
Nesher Ramla,1808,1808,5,37,,Limestone,Pebble,complete,70.35,66.24,40.82,263,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,1145,1145,5,37,,Limestone,Pebble,complete,86.69,72.55,53.65,492,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,7016,7016,5,54,,Limestone,Pebble,complete,63.56,56.73,39.32,194,no,,,,no,Manuport,,
Nesher Ramla,7062,7062-1,5,54,,Limestone,Pebble,complete,71.21,65.53,43.88,305,yes,central,pecking,1,yes,Hammerstone,,Bone fragment stuck 
Nesher Ramla,5570,5570,5,47,,Limestone,Pebble,small_breakage,84.53,55.77,25.35,173,no,,,,no,Manuport,,
Nesher Ramla,5621,5621,5,45,,Limestone,Pebble,complete,155.03,125.19,41.32,1463,no,,,,no,Manuport,,
Nesher Ramla,230,230,5,37,,Limestone,Pebble,complete,74.4,52.73,5128,266,no,,,,no,Manuport,,
Nesher Ramla,8526-2,8526-2,5,,,Limestone,Pebble,broken,80.06,45.71,37.13,218,no,,,,no,Manuport,,
Nesher Ramla,8526,8526,5,,,Limestone,Pebble,complete,65.98,46.84,27.71,117,no,,,,no,Manuport,,
Nesher Ramla,8526,8526-1,5,,,Limestone,Pebble,complete,66.25,40.26,42.04,152,no,,,,no,Manuport,,
